"ID","ID_nxt","x","y","is_canal","Q","V","H","slope","Q_design_m3s","Q_model_m3s","Q_role","Q_parent_m3s","Q_out_sum_m3s","Q_residual_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","C_w","C_sd","concentration_units"
"P_00040","P_00041",0.220833333333257,6.10416666666651,FALSE,1085.21997070312,2.32230829115443,1.62670421604536,0.327067881822586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17193566631637,NA,"viral particles/L"
"P_00041","Source00017",0.220833333333257,6.10416666666651,FALSE,1085.21997070312,3.2287859777418,1.1700090108853,0.980990484356878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6945404553002,NA,"viral particles/L"
"P_00042","Source00018",0.254166666666592,6.10416666666651,FALSE,1085.21997070312,3.2287859777418,1.1700090108853,0.980990484356878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8141831736264,NA,"viral particles/L"
"P_00043","Source00019",0.262499999999925,6.09583333333318,FALSE,1085.21997070312,4.99052729887705,0.756975858849237,4.18111991882324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2587776422996,NA,"viral particles/L"
"P_00044","P_00057",0.270833333333258,6.09583333333318,FALSE,1085.21997070312,5.34768558439631,0.706419371251138,5.25904893875122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5002443285277,NA,"viral particles/L"
"P_00045","Source00020",0.295833333333256,6.24166666666651,FALSE,1085.21997070312,3.84839428011553,0.98163244543244,1.76077890396118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
"P_00046","Source00021",0.295833333333256,6.22916666666651,FALSE,1085.21997070312,4.81960424911682,0.783821345677972,3.72393560409546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20333872205223e-05,NA,"viral particles/L"
"P_00047","Source00022",0.287499999999924,6.22083333333317,FALSE,1085.21997070312,4.34367033086079,0.86970428242177,2.63507437705994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00108491059418431,NA,"viral particles/L"
"P_00048","Source00023",0.287499999999924,6.16249999999984,FALSE,1085.21997070312,4.17604703280023,0.904613539671963,2.31148958206177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00634711638091545,NA,"viral particles/L"
"P_00049","Source00024",0.27916666666659,6.15416666666651,FALSE,1085.21997070312,5.34768573067869,0.706419351927507,5.25904941558838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0072275011867503,NA,"viral particles/L"
"P_00050","P_00051",0.27916666666659,6.11249999999984,FALSE,1085.21997070312,4.56095972128352,0.82827056563326,3.09984374046326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00837068082494181,NA,"viral particles/L"
"P_00051","Source00025",0.270833333333258,6.10416666666651,FALSE,1085.21997070312,4.34367044893033,0.86970425878149,2.63507461547852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00836841553615296,NA,"viral particles/L"
"P_00052","P_00057",0.270833333333258,6.09583333333318,FALSE,1085.21997070312,5.34768558439631,0.706419371251138,5.25904893875122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18891089753314,NA,"viral particles/L"
"P_00053","Source00026",0.404166666666591,6.08712942978234,FALSE,1085.21997070312,2.8590968469711,1.32129441231768,0.654114425182343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"viral particles/L"
