"ID","Pt_type","ID_nxt","Hylak_id","x","y","Q","C_w","C_sd","WWTPremoval","is_canal","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_value_origin","Q_derivation_rule","dist_nxt","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","pathogen_profile_id","pathogen_profile_set","pathogen_profile_label","pathogen_profile_region","pathogen_profile_country","pathogen_profile_confidence","pathogen_prevalence_rate","pathogen_excretion_rate","f_pathogen_direct","pathogen_prevalence_source","pathogen_excretion_source","pathogen_wwtp_source","pathogen_reference_url","substance","concentration_units","basin_id"
"P_00024","node","P_00062",0,22.0791666666665,45.8874999999999,0.166500004474074,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00025","START","P_00026",0,22.0999999999999,45.9083333333332,0.247160725295544,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2823.30750454257,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00026","node","P_00062",0,22.0791666666665,45.8874999999999,0.247160725295544,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00027","START","P_00028",0,21.8166666666665,45.8999999999999,0.176750019192696,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1693.96127613817,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00028","node","P_00029",0,21.8291666666665,45.8874999999999,0.176750019192696,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,925.918631902963,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00029","node","P_00036",0,21.8291666666665,45.8791666666665,0.176750019192696,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00030","JNCT","P_00031",0,21.8541666666665,45.9041666666665,0.693062484264374,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3387.9710555416,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00031","node","P_00036",0,21.8291666666665,45.8791666666665,0.693062484264374,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00032","START","P_00033",0,21.7958333333332,45.8999999999999,0.205410711467266,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1388.8748959979,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
"P_00033","node","P_00034",0,21.7958333333332,45.8874999999999,0.205410711467266,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2258.7998525729,NA,NA,NA,NA,"romania_eu_cryptosporidium_screening","romania_eu_screening","Romania/EU Cryptosporidium screening profile","Romania / Europe","RO","screening_requires_calibration",0.005,1e+08,0,"Imre et al. 2017; ECDC AER context","Vermeulen et al. 2019","Vermeulen et al. 2019 / WHO-style screening removals","https://pubmed.ncbi.nlm.nih.gov/28832257/","cryptosporidium","oocysts/L","bega"
