"ID","Pt_type","ID_nxt","Hylak_id","x","y","Q","C_w","C_sd","WWTPremoval","is_canal","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_value_origin","Q_derivation_rule","dist_nxt","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","pathogen_profile_id","pathogen_profile_set","pathogen_profile_label","pathogen_profile_region","pathogen_profile_country","pathogen_profile_confidence","pathogen_prevalence_rate","pathogen_excretion_rate","f_pathogen_direct","pathogen_prevalence_source","pathogen_excretion_source","pathogen_wwtp_source","pathogen_reference_url","substance","concentration_units","basin_id"
"Source00004","agglomeration","P_00018",0,0.130671609933683,6.14583334296677,1085.21997070312,6.81077875229277e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,166.714523598938,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00018","node","P_00019",0,0.129166666666592,6.14583333333318,1085.21997070312,6.80926760119937e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1304.96963313661,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00019","node","P_00020",0,0.12083333333326,6.13749999999984,1085.21997070312,6.79745053808185e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,922.347974991302,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00020","node","P_00021",0,0.120833333333259,6.12916666666651,1085.21997070312,6.78911065113977e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00021","JNCT","Source00005",0,0.120833333333259,6.12916666666651,1085.21997070312,6.78911065113977e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2082.93196448759,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"Source00005","agglomeration","P_00022",0,0.134134490485888,6.11586567438104,1085.21997070312,0.00130737301082167,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,527.047751768512,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00022","node","Source00006",0,0.137499999999925,6.11249999999984,1085.21997070312,0.0013064561930494,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,298.59136558784,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"Source00006","agglomeration","P_00023",0,0.140195257656591,6.11250001416917,1085.21997070312,0.00177210319964214,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,624.606195586593,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00023","node","Source00007",0,0.145833333333257,6.11249999999984,1085.21997070312,0.00177063054589421,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,745.449666437638,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"Source00007","agglomeration","P_00024",0,0.150593648525294,6.10773974726152,1085.21997070312,0.00206025295480367,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,559.531531147882,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
