"X","Y","L1","ARCID","is_canal","dir","ID","x","y","idx_in_line_seg","ID_nxt","pt_type","loc_ID_tmp","d_nxt","LD2","LD","idx_nxt_tmp","total_population","rptMStateK","uwwLoadEnt","uwwCapacit","uwwPrimary","uwwSeconda","f_STP","canal_id","canal_name","canal_idx","canal_upstream_ids","canal_downstream_ids","canal_upstream_count","canal_downstream_count","canal_pt_type","chainage_m","canal_reach_chainage_m","canal_d_nxt_m","Q_design_m3s","Q_model_m3s","Q_source","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","HL_ID_new","lake_in","lake_out","node_type","LINKNO","UP_CELLS","UPLAND_SKM","display_pt_type","junction_role","slope","T_AIR","Wind","basin_id"
22.0666666666665,45.8999999999999,7,212198,FALSE,1,"P_00023",22.0666666666665,45.8999999999999,1,"P_00024","START","22.066667_45.9",1694.02070216201,166104.913496372,166104.913496372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,6.03000020980835,NA,NA,"bega_rota"
22.0791666666665,45.8874999999999,7,212198,FALSE,4,"P_00024",22.0791666666665,45.8874999999999,2,"P_00062","node","22.079167_45.8875",0,164410.89279421,164410.89279421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",4.48000001907349,NA,NA,"bega_rota"
22.0999999999999,45.9083333333332,8,212199,FALSE,16,"P_00025",22.0999999999999,45.9083333333332,1,"P_00026","START","22.1_45.908333",2823.30750454257,167234.200298753,167234.200298753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,5.8899998664856,NA,NA,"bega_rota"
22.0791666666665,45.8874999999999,8,212199,FALSE,4,"P_00026",22.0791666666665,45.8874999999999,2,"P_00062","node","22.079167_45.8875",0,164410.89279421,164410.89279421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",4.48000001907349,NA,NA,"bega_rota"
21.8166666666665,45.8999999999999,9,212313,FALSE,2,"P_00027",21.8166666666665,45.8999999999999,1,"P_00028","START","21.816667_45.9",1693.96127613817,147977.336010308,147977.336010308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,5.71999979019165,NA,NA,"bega_rota"
21.8291666666665,45.8874999999999,9,212313,FALSE,4,"P_00028",21.8291666666665,45.8874999999999,2,"P_00029","node","21.829167_45.8875",925.918631902963,146283.37473417,146283.37473417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"node",NA,3.05999994277954,NA,NA,"bega_rota"
21.8291666666665,45.8791666666665,9,212313,FALSE,8,"P_00029",21.8291666666665,45.8791666666665,3,"P_00036","node","21.829167_45.879167",0,145357.456102267,145357.456102267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",1.74000000953674,NA,NA,"bega_rota"
21.8541666666665,45.9041666666665,10,212314,FALSE,8,"P_00030",21.8541666666665,45.9041666666665,1,"P_00031","JNCT","21.854167_45.904167",3387.9710555416,148745.427157808,148745.427157808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","fan_in_receiver",1.72000002861023,NA,NA,"bega_rota"
21.8291666666665,45.8791666666665,10,212314,FALSE,8,"P_00031",21.8291666666665,45.8791666666665,2,"P_00036","node","21.829167_45.879167",0,145357.456102267,145357.456102267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"JNCT","coincident_confluence_node",1.74000000953674,NA,NA,"bega_rota"
21.7958333333332,45.8999999999999,11,212422,FALSE,16,"P_00032",21.7958333333332,45.8999999999999,1,"P_00033","START","21.795833_45.9",1388.8748959979,148522.502023384,148522.502023384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,"START",NA,5.1100001335144,NA,NA,"bega_rota"
